,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
1194,1559150253282103299,2022-08-15 12:09:22+00:00,42,0,Echobox,"Victim Support Fund resettled 80,000 IDPs -Borno govt https://t.co/EQ4spdTxFb",https://twitter.com/MobilePunch/status/1559150253282103299,MobilePunch,"Lagos, Nigeria"
1195,1559148507751145472,2022-08-15 12:02:26+00:00,101,7,Echobox,"Army rescues another Chibok girl with child, others https://t.co/KiRXdDJN80",https://twitter.com/MobilePunch/status/1559148507751145472,MobilePunch,"Lagos, Nigeria"
1196,1559146589733658624,2022-08-15 11:54:49+00:00,58,3,Echobox,"Odili uncommon leader, Secondus hails ex-gov at 74 https://t.co/PLA8USEv8q",https://twitter.com/MobilePunch/status/1559146589733658624,MobilePunch,"Lagos, Nigeria"
1197,1559145627128401926,2022-08-15 11:50:59+00:00,65,15,Echobox,FG sacks 23 workers with fake employment letters https://t.co/HvibrD9K99,https://twitter.com/MobilePunch/status/1559145627128401926,MobilePunch,"Lagos, Nigeria"
1198,1559143880288866312,2022-08-15 11:44:03+00:00,22,1,Twitter for iPhone,"Akinghare is considered to be the youngest ruling monarch in Nigeria.

Credit: Instagram | officialarujale_of_okeluse

--
Follow us for more breaking news and videos
--
#education #ondostate #Monarch #punchnewspaper",https://twitter.com/MobilePunch/status/1559143880288866312,MobilePunch,"Lagos, Nigeria"
1199,1559143876950196224,2022-08-15 11:44:02+00:00,43,1,Twitter for iPhone,"The Arujale (Ojima) of Okeluse shared photos from his graduation on his Instagram page and  thanked his family, school, and everyone else for their support throughout his six-year educational journey.",https://twitter.com/MobilePunch/status/1559143876950196224,MobilePunch,"Lagos, Nigeria"
1200,1559143873091444737,2022-08-15 11:44:01+00:00,514,29,Twitter for iPhone,"PHOTOS: Ondo Monarch Graduates From Secondary School
 
The teenage monarch of Okeluse Kingdom in Ondo State,  Oba Oloyede Adeyeoba Akinghare II, has graduated from secondary school. https://t.co/yimqG34Rd1",https://twitter.com/MobilePunch/status/1559143873091444737,MobilePunch,"Lagos, Nigeria"
1201,1559136810319618049,2022-08-15 11:15:57+00:00,78,0,Echobox,African players making headlines in Europe https://t.co/VdRbLIyiop,https://twitter.com/MobilePunch/status/1559136810319618049,MobilePunch,"Lagos, Nigeria"
1202,1559126429035626496,2022-08-15 10:34:42+00:00,24,0,Echobox,Abia ADC chair faults dissolution of state exco https://t.co/Rp2wJCVFvv,https://twitter.com/MobilePunch/status/1559126429035626496,MobilePunch,"Lagos, Nigeria"
1203,1559123807247409152,2022-08-15 10:24:17+00:00,54,2,Echobox,LASBCA unveils special team to boost enforcement https://t.co/Nr8z3YugVr,https://twitter.com/MobilePunch/status/1559123807247409152,MobilePunch,"Lagos, Nigeria"
